p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:41.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:42.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:42.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:43.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:43.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:44.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:44.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:45.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:45.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:46.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:46.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:47.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:47.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:48.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:48.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:49.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:49.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:50.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:50.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:51.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:51.516000
0,499,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:52.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:52.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:53.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:53.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:54.016000
